Latitude,Longitude
42.254,8.767
44.764,2.099
43.292,3.194
45.760,4.923
46.412,4.886
44.653,4.445
43.416,3.457
44.052,2.897
42.627,2.424
43.827,6.008
43.859,4.280
44.174,4.641
44.602,5.163
44.080,4.772
44.199,4.867
43.837,5.794
43.702,3.813
44.052,5.975
44.649,5.081
42.578,2.882
42.972,2.954
42.980,2.950
43.901,4.702
43.469,5.820
43.749,4.063
44.069,4.310
43.837,4.433
44.397,1.130
44.340,4.949
43.970,4.542
43.629,3.762
43.888,4.481
44.046,2.111
44.684,4.521
43.544,4.953
43.848,4.419
43.651,4.642
43.448,6.688
44.565,5.513
44.098,4.024
48.135,6.912
43.759,4.952
43.352,6.587
44.728,4.790
44.099,4.030
45.759,4.904
41.727,9.295
44.182,5.429
43.454,5.408
43.710,4.286
43.552,4.126
44.448,4.315
41.655,9.299
43.677,3.824
44.437,4.079
43.755,4.425
43.895,4.016
44.512,5.629
43.607,3.877
44.281,4.993
43.902,4.536
44.144,4.822
43.942,4.315
43.961,4.528
43.136,2.842
43.473,6.209
42.261,8.720
43.340,2.907
43.214,5.535
44.820,4.658
43.648,7.123
43.723,4.809
43.949,4.623
43.532,3.584
43.717,3.843
44.816,4.659
43.945,4.617
43.758,4.488
44.702,4.508
43.700,3.870
43.559,4.955
44.764,2.100
43.872,3.695
44.229,4.047
43.342,3.402
44.129,4.789
44.257,4.926
44.931,4.886
43.888,3.509
43.762,4.122
43.409,6.383
44.399,1.137
43.790,5.427
43.135,2.841
44.241,4.884
42.954,9.361
44.288,4.942
44.730,4.787
43.378,5.971
43.292,6.574
43.857,6.734
43.618,4.024
44.279,1.393
44.858,4.871
43.230,2.095
43.515,4.788
43.647,6.959
43.969,4.542
44.060,3.230
44.074,4.769
44.000,3.537
43.537,6.951
43.264,3.175
42.920,3.019
43.571,4.832
44.405,4.397
44.483,5.604
43.801,7.198
44.465,4.414
44.354,4.964
44.253,4.892
43.625,3.777
43.180,5.773
42.805,2.971
43.969,4.541
48.885,2.350
44.854,4.936
44.866,4.929
44.813,4.789
44.855,4.944
44.352,4.695
44.072,4.312
43.789,4.393
43.724,4.719
45.703,4.845
42.474,2.863
43.303,3.219
43.775,4.831
45.099,1.443
44.383,1.057
44.772,5.283
44.825,4.667
43.548,3.852
43.377,3.543
42.576,2.883
44.237,4.884
44.098,1.963
43.277,1.989
43.993,4.689
42.709,3.024
43.519,5.262
43.386,5.066
43.829,4.331
44.397,1.136
43.619,3.908
44.099,4.024
44.243,4.889
43.502,4.900
45.272,4.894
43.758,4.490
43.997,4.694
44.111,3.251
43.767,4.402
45.635,4.819
44.107,4.709
44.213,5.959
44.308,4.947
43.968,4.543
44.956,4.872
44.109,4.358
44.726,4.782
43.772,4.401
46.965,4.637
44.817,4.657
43.831,4.393
43.805,3.810
44.068,3.267
43.736,3.264
43.720,4.830
45.279,5.623
44.200,3.387
44.348,3.395
43.382,3.545
44.098,4.029
42.907,2.939
43.399,3.515
43.771,4.402
44.501,5.588
43.527,6.810
43.660,3.517
43.631,3.756
44.101,1.889
43.463,5.581
44.396,4.170
43.826,4.327
43.804,4.326
44.400,4.373
44.086,4.461
44.843,1.220
43.633,5.496
44.062,4.632
44.723,4.599
42.103,9.547
43.932,3.481
43.824,4.518
44.440,3.949
41.602,9.282
43.773,4.396
44.167,3.764
46.222,-1.447
44.110,4.364
43.671,3.975
43.691,4.077
44.859,4.951
42.913,2.798
